het;het;het
bedankt;bedankt;bedanken
spijt;spijt;spijten
vast;vast;vasten
neem;neem;nemen
andere;andere;andere
staat;staat;staan
moeder;moeder;moeder
zullen;zullen;zullen
zou;zou;zullen
zal;zal;zullen
zult;zult;zullen
zoudt;zoudt;zullen
zouden;zouden;zullen
zulle;zulle;zullen
zoude;zoude;zullen
zullend;zullend;zullen
waren;waren;zijn
waarde;waarde;zijn
gewaard;gewaard;zijn
waar;waar;zijn
waart;waart;zijn
waarden;waarden;zijn
ware;ware;zijn
warend;warend;zijn
maak;maak;maken
praten;praten;praten
praatte;praatte;praten
gepraat;gepraat;praten
praat;praat;praten
praatten;praatten;praten
prate;prate;praten
pratend;pratend;praten
kon;kon;kunnen
mooi;mooi;mooi
hele;hele;helen
genoeg;genoeg;genoeg
vinden;vinden;vinden
vond;vond;vinden
gevonden;gevonden;vinden
vind;vind;vinden
vindt;vindt;vinden
vondt;vondt;vinden
vonden;vonden;vinden
vinde;vinde;vinden
vonde;vonde;vinden
vindend;vindend;vinden
lang;lang;lang
leuk;leuk;leuk
wist;wist;weten
na;na;daarna
erna;erna;daarna
hierna;hierna;daarna
daarna;daarna;daarna
waarna;waarna;daarna
graag;graag;graag
toe;toe;tot
tot;tot;tot
ertoe;ertoe;tot
hiertoe;hiertoe;tot
daartoe;daartoe;tot
waartoe;waartoe;tot
helpen;helpen;helpen
hielp;hielp;helpen
geholpen;geholpen;helpen
help;help;helpen
helpt;helpt;helpen
hielpt;hielpt;helpen
hielpen;hielpen;helpen
helpe;helpe;helpen
hielpe;hielpe;helpen
helpend;helpend;helpen
zegt;zegt;zeggen
elkaar;elkaar;elkaar
ziet;ziet;zien
blijf;blijf;blijven
natuurlijk;natuurlijk;natuurlijk
god;god;god
klaar;klaar;klaren
bedoel;bedoel;bedoelen
hallo;hallo;hallo
sorry;sorry;sorry
helemaal;helemaal;helemaal
maakt;maakt;maken
gek;gek;gek
alle;alle;alle
luister;luister;luisteren
drie;drie;drie
geweest;geweest;zijn
meneer;meneer;meneer
werd;werd;worden
blijven;blijven;blijven
bleef;bleef;blijven
gebleven;gebleven;blijven
blijf;blijf;blijven
blijft;blijft;blijven
bleeft;bleeft;blijven
bleven;bleven;blijven
blijve;blijve;blijven
bleve;bleve;blijven
blijvend;blijvend;blijven
zonder;zonder;zonder
hoor;hoor;horen
dingen;dingen;dingen
dong;dong;dingen
gedongen;gedongen;dingen
ding;ding;dingen
dingt;dingt;dingen
dongt;dongt;dingen
dongen;dongen;dingen
dinge;dinge;dingen
donge;donge;dingen
dingend;dingend;dingen
ging;ging;gaan
houden;houden;houden
hield;hield;houden
gehouden;gehouden;houden
hou;hou;houden
houd;houd;houden
houdt;houdt;houden
hieldt;hieldt;houden
hielden;hielden;houden
houde;houde;houden
hielde;hielde;houden
houdend;houdend;houden
